"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"bm_mixed",1000,"gnn_on","c2","zRMSE",20,0.119652599727813,0.0108525582619216,0.944666666666667,0.00588088388948782
"ou_mixed",1000,"gnn_on","c2","zRMSE",20,0.152556420932406,0.0129548538379488,0.957833333333333,0.00591496763349244
"bm_mixed",100,"gnn_on_full","c2","zRMSE",20,0.25590850235376,0.03513977496278,0.948333333333333,0.0153849246482636
"ou_mixed",100,"gnn_on_full","c2","zRMSE",20,0.398801601090482,0.040512251612541,0.901666666666667,0.0253022662693003
"bm_mixed",300,"gnn_on_full","c2","zRMSE",20,0.146750786029792,0.0146703343187126,0.980555555555556,0.00482810431671142
"ou_mixed",300,"gnn_on_full","c2","zRMSE",20,0.22968224257047,0.0133678648102235,0.967777777777778,0.00688247201611685
"bm_mixed",1000,"gnn_on_full","c2","zRMSE",20,0.101771893412297,0.00829893573666621,0.959166666666667,0.00447785323460286
"ou_mixed",1000,"gnn_on_full","c2","zRMSE",20,0.134093076091714,0.0116697749821162,0.972,0.00445510417570389
"bm_mixed",100,"rphylopars","c2","zRMSE",20,0.252647326202249,0.036735350532104,NA,NA
"ou_mixed",100,"rphylopars","c2","zRMSE",20,0.386590917380938,0.0413720787939009,NA,NA
"bm_mixed",300,"rphylopars","c2","zRMSE",20,0.14851801621899,0.0149404786705992,NA,NA
"ou_mixed",300,"rphylopars","c2","zRMSE",20,0.229711972094033,0.0139297515646844,NA,NA
"bm_mixed",1000,"rphylopars","c2","zRMSE",20,0.101416151589235,0.00803246073860397,NA,NA
"ou_mixed",1000,"rphylopars","c2","zRMSE",20,0.133681094790407,0.0115904994320238,NA,NA
"bm_mixed",100,"bace","c3","zRMSE",20,0.305320366271833,0.040815396250948,NA,NA
"ou_mixed",100,"bace","c3","zRMSE",20,0.451510889612047,0.0341883490364113,NA,NA
"bm_mixed",300,"bace","c3","zRMSE",20,0.189211743073799,0.015347561342998,NA,NA
"ou_mixed",300,"bace","c3","zRMSE",20,0.244890040779668,0.0161060190581773,NA,NA
"bm_mixed",1000,"bace","c3","zRMSE",20,0.0887276136487808,0.00743249369685912,NA,NA
"ou_mixed",1000,"bace","c3","zRMSE",20,0.154558712127121,0.00977727726246171,NA,NA
