"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"covariate_MAR","F3",100,0.5,0.3,30,0,0.0133032349446968,0.0140339567896737,0.0710422602089269,0.105555555555556
"covariate_MAR","F1",300,0.5,0.3,30,0,0.000379009168200813,0.00269809846879705,0.190815928710666,0.233333333333333
"covariate_MAR","F2",300,0.5,0.3,30,0,-0.0325856234576158,0.00382170847820676,0.472991419521025,0.516666666666667
"covariate_MAR","F3",300,0.5,0.3,30,0,0.00770270273061464,0.0070262960766635,0.0707748538011696,0.105555555555556
"covariate_MAR","F1",1000,0.5,0.3,30,0,0.0010474209365418,0.000599418110554016,0.0825877192982456,0.15
"covariate_MAR","F2",1000,0.5,0.3,30,0,-0.016776519755702,0.00234086372156519,0.415623781676413,0.466666666666667
"covariate_MAR","F3",1000,0.5,0.3,30,0,0.00265895473151165,0.00207547035179946,0.069330734243015,0.138888888888889
"covariate_MAR","F1",100,1,0.3,30,0,-0.00283224671614736,0.0069342919053201,0.295268782931322,0.383333333333333
"covariate_MAR","F2",100,1,0.3,30,0,-0.00804140477584705,0.0108604194207461,0.35410634538781,0.458333333333333
"covariate_MAR","F3",100,1,0.3,30,0,0.0234651658132419,0.00989954501882952,0.0932537361923327,0.127777777777778
"covariate_MAR","F1",300,1,0.3,30,0,-0.00275528392244327,0.00157958179007188,0.205190058479532,0.258333333333333
"covariate_MAR","F2",300,1,0.3,30,0,-0.0275497883396781,0.00510680828608096,0.487713708290334,0.6
"covariate_MAR","F3",300,1,0.3,30,0,0.0063594434319066,0.00378711060386373,0.0790610786224821,0.133333333333333
"covariate_MAR","F1",1000,1,0.3,30,0,0.00016175727332722,0.000279783887445024,0.0902436647173489,0.191666666666667
"covariate_MAR","F2",1000,1,0.3,30,0,-0.015295774019115,0.00209938360762908,0.374637226235523,0.466666666666667
"covariate_MAR","F3",1000,1,0.3,30,0,0.00333352621768117,0.00187844286125347,0.0778086419753086,0.133333333333333
"covariate_MAR","F1",100,0.2,0.5,30,0,-0.00602789933097269,0.00739108007654511,0.205601851851852,0.216666666666667
"covariate_MAR","F2",100,0.2,0.5,30,0,-0.0217169239122005,0.00991174531336752,0.210823412698413,0.233333333333333
"covariate_MAR","F3",100,0.2,0.5,30,0,-0.0181954219170457,0.0105856291413844,0.0575,0.0666666666666667
"covariate_MAR","F1",300,0.2,0.5,30,0,0.00487322502370047,0.00392509886288987,0.282330581355349,0.316666666666667
"covariate_MAR","F2",300,0.2,0.5,30,0,-0.030400286396381,0.00630613530018995,0.462660383597884,0.491666666666667
"covariate_MAR","F3",300,0.2,0.5,30,0,-0.00353485970114283,0.00574335768641259,0.112156084656085,0.161111111111111
