"n","lambda","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.3,"freqB","cat3",400,0,0,0.425916666666667,0.00635946194233802,0.68213125,0.00485484272307128,0.188254166666667,0.00344149924318836,0.950833333333333,0.00267749212451854,2.76808333333333,0.0123353194171825,NA,NA,0.0136666666666667,0.0021120782201999,0
100,0.3,"freqB","ord",400,0,0,0.332805555555556,0.00597453116693573,0.771834166666667,0.00403632343212471,0.185470833333333,0.0033529993116946,0.917652777777778,0.00321094823524412,3.46108333333333,0.0186650288509022,1.03375,0.0111245198089172,0.00666666666666667,0.00120335556090432,0
100,0.3,"freqB_er","bin",400,0,0,0.530208333333333,0.00522184962965424,0.521915,0.0035166060871698,0.147383333333333,0.00353703513072916,0.984166666666667,0.00181608810236299,1.94258333333333,0.0065572673274525,NA,NA,0.0331666666666667,0.00437391033492158,0
100,0.3,"freqB_er","cat3",400,0,0,0.359666666666667,0.00531312745078364,0.699523333333333,0.00356330358546906,0.167741666666667,0.00349004928216268,0.975708333333333,0.00251951361679564,2.88841666666667,0.0126596453905569,NA,NA,0.0184166666666667,0.00310730929689262,0
100,0.3,"freqB_er","ord",400,0,0,0.330583333333333,0.00557504916805902,0.76353375,0.00365679684293478,0.164343055555556,0.0033838068309701,0.940222222222222,0.00270265159221218,3.61533333333333,0.0150940059953251,1.08119444444444,0.0113545007080903,0.00283333333333334,0.000608065624710304,0
100,0.3,"mode_floor","bin",400,0,0,0.59675,0.00625237214799518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,"mode_floor","cat3",400,0,0,0.4325,0.00658166888849926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,"mode_floor","ord",400,0,0,0.343416666666667,0.00612691795749789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.7,"bace","bin",400,0,0,0.766875,0.00587257618403674,0.34521375,0.0080635104445141,0.155295833333333,0.00367657485787156,0.94025,0.00250837846930084,1.499,0.00907733106660081,NA,NA,0.346416666666667,0.0088015409257573,0
100,0.7,"bace","cat3",400,0,0,0.622569444444444,0.00732225453690973,0.539790500572173,0.00974171018817005,0.220355826083603,0.00471230718390595,0.91975,0.00279681550521361,2.04483333333333,0.0150536009730443,NA,NA,0.16075,0.0071690401832063,16523
100,0.7,"bace","ord",400,0,0,0.542444444444444,0.0074341035923665,0.606828333333333,0.00852827289686798,0.220723611111111,0.003673958386998,0.885527777777778,0.00308755772440077,2.25925,0.0198310177983202,0.565347222222222,0.00980015545539645,0.135166666666667,0.00735520680281833,0
100,0.7,"bace_chain","bin",400,0,0,0.778666666666667,0.00557858218778234,0.317070416666667,0.00723069749160506,0.138654166666667,0.00314896388850055,0.960666666666667,0.00181472672397437,1.56208333333333,0.00886540241205084,NA,NA,0.284583333333333,0.00790566663124833,0
100,0.7,"bace_chain","cat3",400,0,0,0.628180555555556,0.00727452647252421,0.522048398593773,0.00946660490603749,0.208158591662394,0.0044921813380219,0.929041666666667,0.00258066652309539,2.10175,0.0152802415040889,NA,NA,0.152666666666667,0.0071724588510832,17300
