"n","lambda","rho","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.7,0,"freqB_er","bin",200,0,0,0.680583333333333,0.0122672510398093,0.4069675,0.0118665590175361,0.137658333333333,0.00497627112986226,0.958166666666667,0.00370610358689036,1.67633333333333,0.0240539478355805,NA,NA,0.227666666666667,0.0198164525658557,0
100,0.7,0,"freqB_er","cat3",200,0,0,0.494166666666667,0.0132317898420141,0.618385,0.01194881773983,0.186725,0.00591315779951125,0.93325,0.00542125176382422,2.48366666666667,0.0410872544600144,NA,NA,0.117166666666667,0.0133646564652592,0
100,0.7,0,"freqB_er","ord",200,0,0,0.466208333333333,0.01231228519542,0.674823333333333,0.0115337654981434,0.198541666666667,0.00565348149849714,0.910666666666667,0.00457739450781541,2.92616666666667,0.04920693067852,0.7545,0.0207465207823742,0.0661666666666667,0.00918352340757918,0
100,0.7,0,"mode_floor","bin",200,0,0,0.684666666666667,0.0109611771122034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.7,0,"mode_floor","cat3",200,0,0,0.516583333333333,0.0109879746841957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.7,0,"mode_floor","ord",200,0,0,0.439194444444444,0.0108264196109291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.7,0.5,"bace","bin",200,0,0,0.781083333333333,0.00785448114726146,0.324635,0.010732129549915,0.1483,0.00486793712335755,0.943166666666667,0.00351909126765472,1.47183333333333,0.012159597312898,NA,NA,0.3765,0.0124178989979004,0
100,0.7,0.5,"bace","cat3",200,0,0,0.641888888888889,0.0104035485983475,0.509568360967818,0.0137210181443069,0.208133140512165,0.00661236098898901,0.92725,0.00365717039661577,2.01,0.0219218957719869,NA,NA,0.174833333333333,0.011026331359504,8113
100,0.7,0.5,"bace","ord",200,0,0,0.559194444444444,0.0102376226376802,0.590205,0.0118054267696854,0.217619444444444,0.00496733135759209,0.889694444444444,0.00418850548891361,2.1835,0.0269758018619865,0.526888888888889,0.0127497957880124,0.152333333333333,0.010950143346443,0
100,0.7,0.5,"bace_chain","bin",200,0,0,0.78925,0.00756684108669314,0.3032425,0.00980405243569113,0.135758333333333,0.00413314484461078,0.960333333333333,0.00258188077171946,1.538,0.0118901542348082,NA,NA,0.305833333333333,0.010942307211104,0
