"n","lambda","rho","arm","n_fits","n_excluded","n_undefined","n_missing","truth","truth_mc_se","coverage","coverage_se","complete_coverage","complete_coverage_se","coverage_cond","coverage_cond_se","complete_coverage_cond","bias_cond","bias_cond_se","bias","bias_se","rmse","se_mean","emp_sd","width","fmi_mean","m_ok_min","diff_cd_mean","diff_cd_sd","diff_cd_se"
300,0.3,0,"freqA_er",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.995,0.00500000000000001,0.95,0.0154497076780334,0.995,0.00500000000000001,0.95,0.0460519239344284,0.00537391610845483,0.0468820085928582,0.00537391610845484,0.0891338242391865,0.128546223529843,0.0759986504363207,0.510862819955192,0.343448177903332,20,0.0297775820742874,0.0787244758151415,0.00556666106942429
300,0.3,0,"freqB",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.995,0.00500000000000001,0.95,0.0154497076780334,0.995,0.00500000000000001,0.95,0.048219202895387,0.00545252582772863,0.0490492875538168,0.00545252582772863,0.0912256003106831,0.131003125633566,0.0771103597476341,0.520636995550725,0.343564453456172,20,0.031944861035246,0.0796850091411326,0.00563458103226069
300,0.3,0,"freqB_er",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.995,0.00500000000000001,0.95,0.0154497076780334,0.995,0.00500000000000001,0.95,0.0454891690126156,0.00539689839765456,0.0463192536710454,0.00539689839765456,0.0891159312987825,0.128405729284944,0.0763236690871271,0.510292752724244,0.341559629899781,20,0.0292148271524746,0.0782114309322842,0.00553038331785215
300,0.3,0.5,"bace",200,0,0,0,0.70587307890235,0.00146288034164079,0.91,0.020286887118154,0.935,0.0174757549207538,0.92,0.019231465004808,0.955,0.0150143510951794,0.0100482052302546,0.0190933356355425,0.0105296921148211,0.149761691551089,0.129557136452702,0.14891233396393,0.516221116903776,0.3851639833911,20,0.0154024564710436,0.102582084490533,0.00725364875715072
300,0.3,0.5,"bace_chain",200,0,0,0,0.70587307890235,0.00146288034164079,0.935,0.0174757549207538,0.935,0.0174757549207538,0.945,0.0161610923059864,0.955,0.00565107227123162,0.00927567197355046,0.00973005681159468,0.00981777008046986,0.13883806130452,0.13386975430956,0.138844236000613,0.534656771640725,0.421005296950936,20,0.00603917764709577,0.0871311114080421,0.00616109997289471
300,0.3,0.5,"bace_resid",200,0,0,0,0.70587307890235,0.00146288034164079,0.93,0.0180868924470722,0.935,0.0174757549207538,0.95,0.0154497076780334,0.955,0.0151609209379134,0.0100722504391957,0.0192399054782765,0.0105656276630121,0.15028319619166,0.142252057594686,0.149420539360161,0.567449553020551,0.402471115315704,20,0.0155490263137776,0.103261307838745,0.00730167710069679
300,0.3,0.5,"complete",200,0,0,0,0.70587307890235,0.00146288034164079,0.935,0.0174757549207538,0.935,0.0174757549207538,0.955,0.0146953997519409,0.955,-0.000388105375864151,0.00689479027055762,0.00369087916449891,0.00756825076255564,0.106827094364617,0.101006300522691,0.107031228718467,0.397552012621607,0,NA,0,0,0
300,0.3,0.5,"freqA",200,0,0,0,0.70587307890235,0.00146288034164079,0.345,0.0336979637933674,0.935,0.0174757549207538,0.335,0.0334585170294358,0.955,-0.289769365156279,0.00562227355519788,-0.285690380615916,0.00579055291909607,0.297138963609837,0.129472436185166,0.0818907847182478,0.514978890856397,0.358442557517432,13,-0.28938125978039,0.0797242614467026,0.00563735658940526
300,0.3,0.5,"freqA_er",200,0,0,0,0.70587307890235,0.00146288034164079,0.26,0.0310939571437003,0.935,0.0174757549207538,0.23,0.0298320255554952,0.955,-0.306312044086108,0.00537400924748409,-0.302233059545745,0.00557035870317029,0.312281239594531,0.126068597449739,0.0787767682530643,0.501254123168338,0.349283877661944,13,-0.305923938710219,0.0835052097168516,0.00590471000551905
300,0.3,0.5,"freqB",200,0,0,0,0.70587307890235,0.00146288034164079,0.305,0.0326374172542057,0.935,0.0174757549207538,0.29,0.0321663390337503,0.955,-0.292258163287873,0.00552274374556676,-0.28817917874751,0.00565494091724842,0.29901660833861,0.128640497432006,0.0799729413959127,0.511463178769357,0.350594781987935,20,-0.291870057911984,0.0791027400388772,0.00559340838919267
