"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"bace",300,0.3,0.5,"cor",0.88,0.0230359125352493,0.00437929743840181,0.00460760022493479,0.0651455618809525,0.00593693499566227,0.220141094726886,0.395456438617893,200
"bace_chain",300,0.3,0.5,"cor",0.95,0.0154497076780334,-0.0129079838233016,0.00419377840700888,0.0605523222880371,-0.0113503462660411,0.236554814321287,0.460354697110115,200
"bace_resid",300,0.3,0.5,"cor",0.85,0.0253121219495313,-0.0583247652854624,0.00429080040670569,0.0840568908746405,-0.0567671277282019,0.244690367042323,0.438621924109032,200
"complete",300,0.3,0.5,"cor",0.945,0.0161610923059864,-0.00155763755726047,0.00336769490243311,0.0475327114414768,-7.21644966006352e-18,0.170243270319917,0,200
"freqA",300,0.3,0.5,"cor",0.95,0.0154497076780334,-0.00296664904339198,0.00416182660264624,0.0587846947765739,-0.00140901148616975,0.235374975056898,0.471460865574407,200
"freqB",300,0.3,0.5,"cor",0.9,0.0212664361502501,-0.00335229660324668,0.00417403898255628,0.0589774158188381,-0.00179465904602446,0.206908143015622,0.31506350163948,200
"bace",1000,0.3,0.5,"cor",0.87,0.0337997668989631,0.010675564243215,0.00341312087966435,0.03559856305656,0.0113575736429798,0.11891678336364,0.40168731349105,100
"bace_chain",1000,0.3,0.5,"cor",0.97,0.0171446607997765,-0.00520548924210866,0.00307646975012301,0.031049944677382,-0.00452347984234387,0.126327986962159,0.436889893082012,100
"bace_resid",1000,0.3,0.5,"cor",0.53,0.0501613558046592,-0.0593944919910594,0.00312552582260528,0.0670434779377195,-0.0587124825912946,0.133912028562124,0.43990540904347,100
"complete",1000,0.3,0.5,"cor",0.955,0.014695399751941,0.00189948264948642,0.00172885559589863,0.0244623675664935,0,0.0927696542644171,0,200
"freqA",1000,0.3,0.5,"cor",0.944723618090452,0.0162401335256829,0.00140810889099176,0.00214807565262811,0.0302588848854812,-0.000280983936144308,0.127210264215714,0.465748413764651,199
"freqB",1000,0.3,0.5,"cor",0.92462311557789,0.0187615566697261,0.000867696971808122,0.00215722624708774,0.0303672630327049,-0.000821395855327944,0.11154634973069,0.300995409035861,199
"bace",100,0.7,0.5,"cor",0.9,0.0212664361502501,-0.0146550357812996,0.00908804568347335,0.12903756185075,-0.0191498758355311,0.414340702242596,0.423016244425932,200
"bace_chain",100,0.7,0.5,"cor",0.95,0.0154497076780334,-0.033517314086458,0.00793013751057338,0.116781588660004,-0.0380121541406895,0.451997591224585,0.508601549424047,200
"bace_resid",100,0.7,0.5,"cor",0.895,0.0217309958562539,-0.0608281007076013,0.00855571311462977,0.135155107150133,-0.0653229407618329,0.439954246894965,0.444987712736823,200
"complete",100,0.7,0.5,"cor",0.895,0.0217309958562539,0.00449484005423156,0.00634271382472763,0.0895878189316435,1.94289029309402e-18,0.292542922204525,0,200
"freqA",100,0.7,0.5,"cor",0.95,0.0154497076780334,0.00778284520868759,0.00745334350036112,0.105430006246244,0.00328800515442627,0.403129839635197,0.465974134870543,200
"freqB",100,0.7,0.5,"cor",0.91,0.0202868871181541,0.0062166797597672,0.00758633907069542,0.10719889302531,0.00172183970550589,0.352131862124778,0.301374071050191,200
"bace",300,0.7,0.5,"cor",0.895,0.0217309958562539,0.00482245675764966,0.00461449984722265,0.0652739170599019,0.0070460942637096,0.225656954135966,0.397775578504201,200
"bace_chain",300,0.7,0.5,"cor",0.94,0.0168349958546813,-0.0132492235919902,0.00427359659088667,0.0617252287342587,-0.0110255860859303,0.240207647994766,0.450442865292383,200
"bace_resid",300,0.7,0.5,"cor",0.87,0.0238399183837259,-0.0563894532449707,0.00433589862483451,0.0831923902610705,-0.0541658157389107,0.248057938745189,0.439157112460643,200
"complete",300,0.7,0.5,"cor",0.95,0.0154497076780334,-0.00222363750605995,0.00322868523461649,0.0456004585970387,1.11022302462516e-18,0.170434309947796,0,200
"freqA",300,0.7,0.5,"cor",0.955,0.014695399751941,-0.0030440366485632,0.0041791212127839,0.0590322956290431,-0.000820399142477021,0.23434451638046,0.461028607758521,200
"freqB",300,0.7,0.5,"cor",0.905,0.0207854558737449,-0.00358741677173852,0.00422397172253928,0.0596943468390737,-0.00136377926565232,0.20637581034898,0.312008347541348,200
"bace",1000,0.7,0.5,"cor",0.9,0.0301511344577763,0.0136785674255191,0.00330972706330003,0.035659195685475,0.0142148232713974,0.119970810343711,0.414565984327887,100
"bace_chain",1000,0.7,0.5,"cor",0.99,0.01,-0.00411931350760217,0.00293446616238075,0.0294867227397606,-0.00358305766172395,0.129753975148257,0.473023147344388,100
"bace_resid",1000,0.7,0.5,"cor",0.56,0.0498887651569859,-0.0572110519287718,0.00304283782866781,0.0647281376674954,-0.0566747960828936,0.134504344819873,0.437550715649315,100
"complete",1000,0.7,0.5,"cor",0.965,0.013027801736688,0.00200089448701842,0.00172571655616405,0.0244263179288182,8.32667268468866e-18,0.092757323594153,0,200
"freqA",1000,0.7,0.5,"cor",0.939698492462312,0.016917093699099,0.00114920542499446,0.0021288499297447,0.0299776095400699,-0.00100751433459852,0.127282952800343,0.458463088050861,199
"freqB",1000,0.7,0.5,"cor",0.92462311557789,0.0187615566697261,0.0006175624785492,0.0021637269223427,0.0304525991324238,-0.00153915728104378,0.111706118476172,0.298080525927583,199
"bace",100,1,0.5,"cor",0.946428571428571,0.0174241780211877,-0.0767294652743132,0.00986022955134301,0.148740848517637,-0.0697328197103955,0.517780213928616,0.5215024936212,168
"bace_chain",100,1,0.5,"cor",0.957575757575758,0.0157388028488726,-0.100577311448006,0.00832410589682372,0.146558782647377,-0.0944564204454249,0.623108361137785,0.650384842422781,165
"bace_resid",100,1,0.5,"cor",0.94047619047619,0.0183088482950107,-0.0865235974410083,0.00953506854102387,0.150564141719838,-0.0795269518770906,0.516217579629264,0.515473670889538,168
