"arm","n","lambda","rho","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace_resid",1000,0.7,0.5,0.982766666666667,0.000494197532266063,3.27214521517653,0.0455935261184728,0.629079810535895,0.00898932800933033,3.42851673335624,0.0472991433266514,3.26134756092045,100
"freqA",1000,0.7,0.5,0.949916247906198,0.000752936033094415,2.61967389270213,0.0263934960685919,0.635627856636286,0.00663995990594122,3.13479555786177,0.0331974424976542,2.6538241832486,199
"freqB",1000,0.7,0.5,0.949539363484087,0.000704381669758117,2.62300263676877,0.0266586248785024,0.634996062635578,0.00672256281463744,3.12079806645181,0.033508153859812,2.62847122099423,199
"bace",100,1,0.5,0.935813492063492,0.00296725641610032,0.919173708229599,0.0244611371527368,0.266733391531477,0.0081151089004748,1.20781349114973,0.0361090318579598,0.844574549400745,168
"bace_chain",100,1,0.5,0.968787878787879,0.00187458701133841,1.07243710953396,0.0267199107422141,0.247882496456318,0.00705173742537362,1.22501015481203,0.0328730164614985,1.02540947953026,165
"bace_resid",100,1,0.5,0.944543650793651,0.00277717305392253,0.949902922176887,0.0248257243029616,0.266931351990475,0.00813114255880965,1.2092753558469,0.035348069965157,0.878604971743253,168
"freqA",100,1,0.5,0.946833333333333,0.00236998611195388,0.767903314964702,0.0179965894006182,0.220918135389045,0.00628030965912711,0.987444079683294,0.0281269438471423,0.74436441859531,200
"freqB",100,1,0.5,0.946166666666667,0.00237974305253562,0.764153496581878,0.0177234460527702,0.222608936470366,0.00668368685473526,0.997343361944182,0.0295937054403119,0.750212793428337,200
"bace",300,1,0.5,0.942844677137871,0.0016140575483364,0.479914247272154,0.0102531636088165,0.152614712862551,0.00440601607792808,0.611298324741751,0.0151889395947431,0.473846583858515,191
"bace_chain",300,1,0.5,0.958918128654971,0.0013885855471341,0.52234994544285,0.0106935785215363,0.146282559313417,0.00387279226779396,0.613992599578607,0.0137247151986921,0.515763656412425,190
"bace_resid",300,1,0.5,0.949243746364165,0.00156735453475367,0.49203959821698,0.0103310891881536,0.152745434069153,0.00440743450649356,0.61402982770514,0.0150767805119757,0.483587295243986,191
"freqA",300,1,0.5,0.955222222222222,0.00139161652873995,0.482590989413072,0.0100387908745617,0.141450671890722,0.0036504709179662,0.599510916534431,0.0144950155525141,0.474851991889786,200
"freqB",300,1,0.5,0.955722222222222,0.00136646328601587,0.482377841005353,0.0100430052361919,0.141036190351842,0.00347440200476874,0.593255483489312,0.0139296614632475,0.479929733769505,200
"bace",1000,1,0.5,0.944771929824561,0.00108995964298658,0.253638321296804,0.0073821013124508,0.0803925779466796,0.00261668915379876,0.322785379680785,0.00995845485424424,0.250045438185228,95
"bace_chain",1000,1,0.5,0.955631578947368,0.00106617515836485,0.268774551331478,0.00761809029161975,0.0786596215769051,0.00235165124215465,0.321597071465622,0.00934989774195388,0.261905624516477,95
"bace_resid",1000,1,0.5,0.951052631578947,0.00105970004500305,0.259406096570428,0.00741319978602118,0.0804508551115324,0.00261778888728601,0.32450540743547,0.00993068087030146,0.255187322855528,95
"freqA",1000,1,0.5,0.959183333333333,0.000613566838880094,0.266645754076787,0.00551274015929453,0.077508017101713,0.00167737202666452,0.324118713409454,0.00684146373306334,0.267578572668931,200
"freqB",1000,1,0.5,0.958725,0.000660247307860993,0.266986583396138,0.00552491458169248,0.0770701798760098,0.00165028224477689,0.322824759813944,0.0066542790608335,0.264924339134546,200
