"dgp","n","lambda","rho","evo","miss","frac","trait","arm","n_reps","n_cells","ece","ece_mcse"
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","gnn_off",200,60000,0.0715852242929855,0.00424445108887342
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","gnn_off",200,6000,0.0638304979068258,0.00993704764549222
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","gnn_off",200,18000,0.0888137397754277,0.0077055566404609
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","gnn_off",200,60000,0.0768581924400398,0.00557321434499396
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","gnn_off",200,6000,0.239310256360461,0.00849373471034047
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","gnn_off",200,18000,0.282363306268014,0.0074246578105775
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","gnn_off",200,60000,0.322458270165968,0.00380994213960934
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","gnn_off",200,6000,0.110806339881188,0.0085578134995994
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","gnn_off",200,18000,0.0855029791854847,0.00670837173403361
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","gnn_off",200,60000,0.0749008102877063,0.00446074339652436
