"dgp","n","lambda","rho","evo","miss","frac","trait","metric","arm","reference","n_common_seeds","mean_diff","mcse_diff"
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0107777777777778,0.0100839918309346
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0627222222222222,0.00695491561195586
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0629444444444444,0.00687569092005602
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0622777777777778,0.00687326333467559
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0452222222222222,0.00714699471595007
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-0.00328333333333333,0.00171251469730862
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.141366666666667,0.0091605084916131
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0748,0.00585758967357049
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.07655,0.00590622689981272
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0767166666666667,0.00594847959967408
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0645333333333333,0.00605465706200361
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0134666666666667,0.008966992017411
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-0.000166666666666667,0.000166666666666667
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,-0.131666666666667,0.0192355299295933
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,-0.0348333333333333,0.00574100174715702
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,-0.01,0.00805827463303519
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",185,-0.027027027027027,0.00602031849939262
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,-0.0148333333333333,0.00869065582129059
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,-0.292166666666667,0.0134707688579262
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,0,0
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,-0.163888888888889,0.0198607039663793
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,-0.0117777777777778,0.00271782310716478
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0131111111111111,0.00686778345112953
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,-0.306333333333333,0.0127468516091048
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",186,-0.00621266427718041,0.00277985937850775
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0145555555555556,0.00671968033857239
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,-0.119833333333333,0.0177740131746382
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,1.66666666666665e-05,1.66666666666665e-05
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,-0.00625,0.00245062207943501
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",191,-0.00361256544502618,0.00254836920988983
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0131,0.00677860421868289
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,-0.326883333333333,0.0120708192577985
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.01395,0.00672279876029415
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.119333333333333,0.0128636115770741
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0631666666666667,0.00963428846557212
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-0.0158333333333333,0.0075426851575429
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0588333333333333,0.00986502289490084
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0646666666666667,0.00982720616534486
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.065,0.00971035009354144
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0498333333333333,0.0106882045433073
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-2.22044604925031e-18,0.00459879926174128
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0863888888888889,0.00726064063380781
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.202888888888889,0.00915785550748357
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0913888888888889,0.00713001635319642
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0926666666666667,0.00704775306406679
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0917777777777778,0.00711032589187919
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0926666666666667,0.00713175743710456
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-0.00423333333333334,0.0028538482839698
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.100933333333333,0.00598323359985561
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.225366666666667,0.00587579925074171
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.113183333333333,0.00546509647241653
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.11,0.00553487496435301
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.110333333333333,0.00549620446671353
