"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"types_mixed",1000,"gnn_on","bin","macroF1",1200,0.677995974561179,0.00704562624020964,NA,NA
"types_mixed",100,"gnn_on_full","bin","macroF1",1168,0.579035566281689,0.00717345765044436,NA,NA
"types_mixed",300,"gnn_on_full","bin","macroF1",1171,0.641991101052838,0.00724630155486776,NA,NA
"types_mixed",1000,"gnn_on_full","bin","macroF1",1184,0.674939792190942,0.00709074715051859,NA,NA
"types_mixed",100,"bace","cat3","macroF1",597,0.512254227741964,0.00827996369022194,NA,NA
"types_mixed",300,"bace","cat3","macroF1",599,0.538632943177324,0.00809830085669696,NA,NA
"types_mixed",1000,"bace","cat3","macroF1",580,0.567248101693566,0.00866973423549745,NA,NA
"types_mixed",100,"floor","cat3","macroF1",1200,0.248222583622781,0.0034924363477263,NA,NA
"types_mixed",300,"floor","cat3","macroF1",1200,0.249350347905679,0.0028562189588956,NA,NA
"types_mixed",1000,"floor","cat3","macroF1",1200,0.24318947014462,0.00249251601176447,NA,NA
"types_mixed",100,"freq","cat3","macroF1",1200,0.538269338091443,0.00760267517921053,NA,NA
"types_mixed",300,"freq","cat3","macroF1",1200,0.549506466741047,0.00768418816299161,NA,NA
"types_mixed",1000,"freq","cat3","macroF1",1200,0.566842116411467,0.00813736876943672,NA,NA
"types_mixed",100,"freq_lambda","cat3","macroF1",1200,0.540101814650675,0.00758362741693855,NA,NA
"types_mixed",300,"freq_lambda","cat3","macroF1",1200,0.549877032431406,0.00767162747580708,NA,NA
"types_mixed",1000,"freq_lambda","cat3","macroF1",1200,0.565648010380391,0.00816874619136629,NA,NA
"types_mixed",100,"gnn_off","cat3","macroF1",1200,0.466856997773591,0.00867830355674595,NA,NA
"types_mixed",300,"gnn_off","cat3","macroF1",1200,0.509934131935781,0.00895580311017034,NA,NA
"types_mixed",1000,"gnn_off","cat3","macroF1",1200,0.540929875506848,0.00915209127473018,NA,NA
"types_mixed",100,"gnn_off_rphylopars","cat3","macroF1",1200,0.454915195705151,0.00857137292264459,NA,NA
"types_mixed",300,"gnn_off_rphylopars","cat3","macroF1",1200,0.504116456566573,0.0089569247241687,NA,NA
