"job_id","cell_id","rep","missing_mechanism","g6_mar_label","family","n_species","phylo_lambda","miss_frac","seed","candidate_sha","driver_sha","hostname","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","gate_open_frac","floor_fired","error"
424,181,2,"MNAR",FALSE,"F2",100,1,0.1,48102,"6fddd79","HEAD","totoro","fixed_1",TRUE,63.94,0.635281181580976,0.67972688066295,-0.0444456990819743,0.4125,0.5,FALSE,NA
425,182,2,"MNAR",FALSE,"F3",100,1,0.1,48202,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.4,0.58116489953034,0.542179276493274,0.0389856230370662,0,0,TRUE,NA
426,183,2,"MNAR",FALSE,"F1",300,1,0.1,48302,"6fddd79","HEAD","totoro","fixed_1",TRUE,90.65,0.523140899468463,0.523140900825854,-1.35739053330752e-09,0,0,FALSE,NA
427,184,2,"MNAR",FALSE,"F2",300,1,0.1,48402,"6fddd79","HEAD","totoro","fixed_1",TRUE,86.871,0.638123101033998,0.67637265016758,-0.0382495491335818,0.675,0.75,FALSE,NA
428,185,2,"MNAR",FALSE,"F3",300,1,0.1,48502,"6fddd79","HEAD","totoro","fixed_1",TRUE,88.768,0.441777055478076,0.439473519171933,0.00230353630614299,0.15,0.166666666666667,FALSE,NA
429,186,2,"MNAR",FALSE,"F1",1000,1,0.1,48602,"6fddd79","HEAD","totoro","fixed_1",TRUE,525.259,0.440649463804585,0.440649463177461,6.27124019381142e-10,0,0,FALSE,NA
430,187,2,"MNAR",FALSE,"F2",1000,1,0.1,48702,"6fddd79","HEAD","totoro","fixed_1",TRUE,529.066,0.512117189943284,0.53953395116648,-0.0274167612231964,0.475,0.5,FALSE,NA
431,188,2,"MNAR",FALSE,"F3",1000,1,0.1,48802,"6fddd79","HEAD","totoro","fixed_1",TRUE,477.741,0.542018511441443,0.542018511755507,-3.14063441919643e-10,0,0,FALSE,NA
432,189,2,"MNAR",FALSE,"F1",100,0.2,0.3,48902,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.264,1.08658015437648,1.04778311912022,0.0387970352562585,0,0,TRUE,NA
433,190,2,"MNAR",FALSE,"F2",100,0.2,0.3,49002,"6fddd79","HEAD","totoro","fixed_1",TRUE,62.164,1.29688301063768,1.26413896701374,0.0327440436239386,0.1125,0.25,TRUE,NA
434,191,2,"MNAR",FALSE,"F3",100,0.2,0.3,49102,"6fddd79","HEAD","totoro","fixed_1",TRUE,71.039,0.567299928456768,0.613740457682147,-0.0464405292253791,0,0,TRUE,NA
435,192,2,"MNAR",FALSE,"F1",300,0.2,0.3,49202,"6fddd79","HEAD","totoro","fixed_1",TRUE,83.5,0.982112469219064,0.999509425414423,-0.0173969561953583,0.5,0.5,FALSE,NA
436,193,2,"MNAR",FALSE,"F2",300,0.2,0.3,49302,"6fddd79","HEAD","totoro","fixed_1",TRUE,85.533,1.11444179294727,1.10200424674415,0.0124375462031141,0,0,TRUE,NA
437,194,2,"MNAR",FALSE,"F3",300,0.2,0.3,49402,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.854,0.689505737098439,0.753490312158919,-0.0639845750604799,0.166666666666667,0.166666666666667,TRUE,NA
438,195,2,"MNAR",FALSE,"F1",1000,0.2,0.3,49502,"6fddd79","HEAD","totoro","fixed_1",TRUE,372.133,0.997497470237194,0.979108929055519,0.018388541181675,0,0,TRUE,NA
439,196,2,"MNAR",FALSE,"F2",1000,0.2,0.3,49602,"6fddd79","HEAD","totoro","fixed_1",TRUE,349.672,0.900763894643003,0.927599856354137,-0.0268359617111343,0.6625,0.75,FALSE,NA
440,197,2,"MNAR",FALSE,"F3",1000,0.2,0.3,49702,"6fddd79","HEAD","totoro","fixed_1",TRUE,366.876,0.69421635768702,0.707138157822079,-0.0129218001350591,0,0,TRUE,NA
441,198,2,"MNAR",FALSE,"F1",100,0.5,0.3,49802,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.752,0.647078932093102,0.662704263860037,-0.0156253317669345,0,0,TRUE,NA
442,199,2,"MNAR",FALSE,"F2",100,0.5,0.3,49902,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.677,0.856418377949812,1.01018238516187,-0.153764007212058,0.5,0.5,TRUE,NA
443,200,2,"MNAR",FALSE,"F3",100,0.5,0.3,50002,"6fddd79","HEAD","totoro","fixed_1",TRUE,69.921,0.634946108360605,0.71071259250339,-0.0757664841427848,0,0,TRUE,NA
444,201,2,"MNAR",FALSE,"F1",300,0.5,0.3,50102,"6fddd79","HEAD","totoro","fixed_1",TRUE,77.666,0.84066139160769,0.845189657070753,-0.00452826546306329,0.25,0.25,FALSE,NA
445,202,2,"MNAR",FALSE,"F2",300,0.5,0.3,50202,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.916,0.809448122273383,0.857185616673187,-0.0477374943998037,0.25,0.25,FALSE,NA
