"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","r_cal_bm_mean","r_cal_mean_mean","floor_fired","error"
115,34,2,"F2",1000,0.2,0.3,13402,"fixed_1",TRUE,397.809,0.931341092957766,0.920031064399451,0.0113100285583152,0.25,0.5,0.25,TRUE,NA
116,35,2,"F3",1000,0.2,0.3,13502,"fixed_1",TRUE,359.652,0.698076576763793,0.698076576497236,2.66557442785142e-10,0,1,0,FALSE,NA
117,36,2,"F1",100,0.5,0.3,13602,"fixed_1",TRUE,67.523,0.825487810407182,0.745276596633614,0.0802112137735673,0,0.5,0.5,TRUE,NA
118,37,2,"F2",100,0.5,0.3,13702,"fixed_1",TRUE,64.589,0.632729016474413,0.664581825999908,-0.0318528095254954,0.25,0.5,0.25,TRUE,NA
119,38,2,"F3",100,0.5,0.3,13802,"fixed_1",TRUE,71.96,0.819130619423306,0.590212740104614,0.228917879318691,0.0583333333333333,0.15,0.791666666666667,TRUE,NA
120,39,2,"F1",300,0.5,0.3,13902,"fixed_1",TRUE,83.263,0.943782568977144,0.941135233240179,0.00264733573696563,0.25,0.555208333333333,0.194791666666667,FALSE,NA
121,40,2,"F2",300,0.5,0.3,14002,"fixed_1",TRUE,84.376,0.802378984101468,0.795831179239038,0.00654780486242912,0.25,0.5,0.25,TRUE,NA
122,41,2,"F3",300,0.5,0.3,14102,"fixed_1",TRUE,77.334,0.687815815513769,0.68781581650739,-9.93621185330085e-10,0,1,0,FALSE,NA
123,42,2,"F1",1000,0.5,0.3,14202,"fixed_1",TRUE,365.359,0.83709619886592,0.837072940476872,2.3258389048153e-05,0.0625,0.9375,0,FALSE,NA
124,43,2,"F2",1000,0.5,0.3,14302,"fixed_1",TRUE,385.957,0.90701009442691,0.926193706626577,-0.0191836121996669,0.5,0.5,0,FALSE,NA
125,44,2,"F3",1000,0.5,0.3,14402,"fixed_1",TRUE,374.761,0.576731755482787,0.576492262414259,0.000239493068528329,0.233333333333333,0.766666666666667,0,FALSE,NA
126,45,2,"F1",100,1,0.3,14502,"fixed_1",TRUE,64.468,0.719763627727593,0.693080372795034,0.0266832549325584,0,0.9125,0.0875,FALSE,NA
127,46,2,"F2",100,1,0.3,14602,"fixed_1",TRUE,66.689,0.803364169580577,0.805041229670645,-0.00167706009006829,0.25,0.75,0,FALSE,NA
128,47,2,"F3",100,1,0.3,14702,"fixed_1",TRUE,65.178,0.610989960234395,0.612899301863051,-0.00190934162865608,0.166666666666667,0.666666666666667,0.166666666666667,TRUE,NA
